TIME ns, IN1, OUT1
-387.695, 2.140998, 3
-388.672, 2.132035, 3
-389.648, 2.108193, 3
-390.625, 2.084352, 3
-391.602, 2.06051, 3
-392.578, 2.050781, 3
-393.555, 2.050781, 3
-394.531, 2.050781, 3
-395.508, 2.050781, 3
-396.484, 2.07443, 3
-397.461, 2.122114, 3
-398.438, 2.169798, 3
-399.414, 2.217482, 3
-400.391, 2.236558, 3
-401.367, 2.212716, 3
-402.344, 2.188874, 3
-403.32, 2.165032, 3
-404.297, 2.141191, 3
-405.273, 2.117349, 3
-406.25, 2.093507, 3
-407.227, 2.069665, 3
-408.203, 2.055739, 3
-409.18, 2.079581, 3
-410.156, 2.103423, 3
-411.133, 2.127265, 3
-412.109, 2.143099, 3
-413.086, 2.095415, 3
-414.063, 2.047731, 3
-415.039, 2.000047, 3
-416.016, 1.953886, 3
-416.992, 2.00157, 3
-417.969, 2.049253, 3
-418.945, 2.096937, 3
-419.922, 2.144621, 3
-420.898, 2.148438, 3
-421.875, 2.148438, 3
-422.852, 2.148438, 3
-423.828, 2.148438, 3
-424.805, 2.128793, 3
-425.781, 2.104951, 3
-426.758, 2.081109, 3
-427.734, 2.057267, 3
-428.711, 2.068137, 3
-429.688, 2.091979, 3
-430.664, 2.115821, 3
-431.641, 2.139663, 3
-432.617, 2.13337, 3
-433.594, 2.109529, 3
-434.57, 2.085687, 3
-435.547, 2.061845, 3
-436.523, 2.050781, 3
-437.5, 2.050781, 3
-438.477, 2.050781, 3
-439.453, 2.050781, 3
-440.43, 2.061271, 3
-441.406, 2.085113, 3
-442.383, 2.108954, 3
-443.359, 2.132796, 3
-444.336, 2.148438, 3
-445.312, 2.148438, 3
-446.289, 2.148438, 3
-447.266, 2.148438, 3
-448.242, 2.148438, 3
-449.219, 2.148438, 3
-450.195, 2.148438, 3
-451.172, 2.148438, 3
-452.148, 2.152061, 3
-453.125, 2.175902, 3
-454.102, 2.199744, 3
-455.078, 2.223586, 3
-456.055, 2.24476, 3
-457.031, 2.220918, 3
-458.008, 2.197076, 3
-458.984, 2.173234, 3
-459.961, 2.149392, 3
-460.938, 2.148438, 3
-461.914, 2.148438, 3
-462.891, 2.148438, 3
-463.867, 2.148438, 3
-464.844, 2.127839, 3
-465.82, 2.103997, 3
-466.797, 2.080155, 3
-467.773, 2.056314, 3
-468.75, 2.050781, 3
-469.727, 2.050781, 3
-470.703, 2.050781, 3
-471.68, 2.050781, 3
-472.656, 2.066802, 3
-473.633, 2.090644, 3
-474.609, 2.114486, 3
-475.586, 2.138328, 3
-476.563, 2.148438, 3
-477.539, 2.148438, 3
-478.516, 2.148438, 3
-479.492, 2.148438, 3
-480.469, 2.136994, 3
-481.445, 2.113153, 3
-482.422, 2.089311, 3
-483.398, 2.065469, 3
-484.375, 2.059936, 3
-485.352, 2.083777, 3
-486.328, 2.107619, 3
-487.305, 2.131461, 3
-488.281, 2.148438, 3
-489.258, 2.148438, 3
-490.234, 2.148438, 3
-491.211, 2.148438, 3
-492.188, 2.148438, 3
-493.164, 2.148438, 3
-494.141, 2.148438, 3
-495.117, 2.148438, 3
-496.094, 2.150725, 3
-497.07, 2.174567, 3
-498.047, 2.198409, 3
-499.023, 2.222251, 3
